Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C8",0603,14,100n,C14663
"C11, C6, C7",0603,3,22u,C86295
"C12, C2, C3, C4",0603,4,1u,C59302
C13,0603,1,10n,C100042
C5,0603,1,10u,C19702
C9,0603,1,2u2,C23630
D1,SOT-143-4,1,PRTR5V0U2X,C5180302
D2,0603,1,FC1,C72042
D3,0603,1,FC2,C72041
D4,WS2812B2020,1,WS2812B-2020,C965555
"DS1, DS2",D_SOD-323_HandSoldering,2,B5819WS,C22624
F1,0805,1,500mA,C883109
FS1,W25N01GVZEIG_Type2,1,W25N01GVZEIG,C88868
J1,PinHeader_3x09_P2.54mm_Vertical_AK,1,Conn_03x09_P2.54mm_Male_Vertical,C2337
J3,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical_AK,1,LED/BUZ,C160390
J4,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical_AK,1,ADC,C160389
J5,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical_AK,1,GPS,C160392
J6,USB_type_C_GT-USB-7055,1,USB_C,C2686963
L1,L_Inductor_SMMS0420,1,10u,C5349663
L2,0603,1,39n,C86134
Q1,SOT-23,1,IRLML6244,C5354986
Q2,SOT-23,1,2N7002,C8545
"R1, R2",0603,2,5.1K,C23186
"R10, R11, R15, R16, R17, R18, R3, R8",0603,8,10K,C25804
R12,0603,1,100K,C25803
"R13, R14, R9",0603,3,1K,C21190
"R4, R5",0603,2,7K5,C23234
R6,0603,1,15K,C22809
R7,0603,1,5K6,C23189
SW1,SW_Push_1P1T_NO_GT-TC025D,1,GT-TC025D,C778132
U1,TSOT-23-6,1,AP63205WU-7,C2071056
U2,TSOT-23-5,1,ME6211C33M5G-N,C82942
U3,LQFP-64_10x10mm_P0.5mm,1,STM32F722RET6,C118207
U4,Bosch_LGA-8_2x2.5mm_P0.65mm_BMP280,1,BMP280,C83291
U5,XDCR_BMI270,1,BMI270,C2836813
Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,1,8MHz,C70457
